USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1404  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:41]
root      1405  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:42]
root      1406  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:43]
root      1407  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:44]
root      1408  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:45]
root      1409  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:46]
root      1410  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:47]
root      1411  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:48]
root      1413  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:49]
root      1414  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:50]
root      1416  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:51]
root      1417  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:52]
root      1419  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:53]
root      1422  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:54]
root      1423  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:55]
root      1424  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:56]
root      1425  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:57]
root      1426  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:58]
root      1427  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:59]
root      1428  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:60]
root      1429  0.0  0.0      0     0 ?        D    10:07   0:00  \_ [kworker/u8:61]
root      1430  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:62]
root      1432  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:63]
root      1434  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:64]
root      1436  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:65]
root      1437  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:66]
root      1438  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:67]
root      1439  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:68]
root      1440  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:69]
root      1441  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:70]
root      1442  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:71]
root      1443  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:72]
root      1444  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:73]
root      1445  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:74]
root      1446  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:75]
root      1447  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:76]
root      1448  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:77]
root      1449  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:78]
root      1450  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:79]
root      1451  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:80]
root      1452  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:81]
root      1453  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:82]
root      1454  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:83]
